temp(C), rmax(kohm),rnorm(kohm),rrmin(kohm)
-30,1805.1971,1733.2,1663.6657
-29,1693.5863,1630.408,1569.3019
-28,1593.938,1534.477,1476.9663
-27,1500.893,1444.903,1390.7495
-26,1413.9673,1361.22,1310.2028
-25,1329.1367,1283,1238.3016
-24,1252.8144,1209.327,1167.1953
-23,1181.4336,1140.424,1100.6928
-22,1114.6401,1075.949,1038.464
-21,1052.1085,1015.588,980.2059
-20,990.8617,959.05,928.1695
-19,936.0641,906.0117,876.839
-18,884.6914,856.2883,828.7167
-17,836.5067,809.6506,783.5807
-16,791.291,765.8865,741.2257
-15,746.7035,724.8,703.4662
-14,706.3711,685.6507,665.4693
-13,668.5024,648.8929,629.7934
-12,632.931,614.3649,596.2817
-11,599.5024,581.9169,564.7888
-10,566.5131,551.41,536.6581
-9,537.0073,522.6908,508.7073
-8,509.2437,495.6674,482.4068
-7,483.1082,470.2286,457.6486
-6,458.4948,446.2714,434.3323
-5,434.1442,423.7,413.4672
-4,411.9667,402.056,392.3459
-3,391.0739,381.6658,372.4482
-2,371.3832,362.4488,353.6953
-1,352.8178,344.3301,336.0142
0,334.4393,327.24,320.1638
1,317.8826,311.0397,304.3138
2,302.2571,295.7506,289.3553
3,287.5046,281.3157,275.2325
4,273.571,267.682,261.8936
5,259.7533,254.8,249.9157
6,247.2985,242.5827,237.9326
7,235.5234,231.0321,226.6034
8,224.3869,220.108,215.8887
9,213.8504,209.7724,205.7513
10,203.3838,199.99,196.6338
11,193.7916,190.5578,187.3599
12,184.7142,181.6319,178.5838
13,176.1211,173.1822,170.2759
14,167.9835,165.1804,162.4083
15,159.8962,157.6,155.3211
16,152.617,150.4253,148.2502
17,145.716,143.6234,141.5466
18,139.1712,137.1726,135.1891
19,132.9622,131.0528,129.1578
20,126.7793,125.245,123.717
21,121.124,119.6582,118.1984
22,115.7568,114.3559,112.9608
23,110.6613,109.3221,107.9884
24,105.634,104.5415,103.4506
25,101,100,99
26,96.8195,95.8191,94.8195
27,92.8384,91.8392,90.8415
28,89.0074,88.0494,87.0928
29,85.3582,84.4395,83.5222
30,81.9874,81,80.0167
31,78.57,77.6238,76.6815
32,75.3161,74.4091,73.5058
33,72.217,71.3472,70.4812
34,69.2643,68.4301,67.5994
35,66.5901,65.65,64.7167
36,63.8857,62.9838,62.0884
37,61.3075,60.442,59.5827
38,58.8489,58.0181,57.1933
39,56.5037,55.706,54.9141
40,54.3774,53.5,52.6316
41,52.2133,51.3708,50.537
42,50.1482,49.3391,48.5382
43,48.1771,47.3998,46.6304
44,46.2952,45.5483,44.809
45,44.5864,43.78,42.9836
46,42.8302,42.0555,41.2905
47,41.1535,40.4092,39.6741
48,39.5522,38.8369,38.1304
49,38.0227,37.335,36.6558
50,36.6326,35.8999,35.1785
51,35.3225,34.616,33.9204
52,34.0669,33.3855,32.7147
53,32.8632,32.2059,31.5588
54,31.7091,31.0748,30.4504
55,30.66,29.99,29.3318
56,29.551,28.9053,28.2709
57,28.4885,27.866,27.2545
58,27.4703,26.87,26.2803
59,26.4943,25.9153,25.3466
60,25.6058,25,24.4063
61,24.6941,24.1099,23.5373
62,23.82,23.2565,22.7042
63,22.9818,22.4381,21.9052
64,22.1778,21.6531,21.1389
65,21.4449,20.9,20.3669
66,20.7,20.1741,19.6595
67,19.9852,19.4774,18.9806
68,19.299,18.8087,18.3289
69,18.6402,18.1666,17.7032
70,18.0391,17.55,17.0723
71,17.4182,16.9459,16.4847
72,16.822,16.3659,15.9204
73,16.2495,15.8089,15.3786
74,15.6996,15.2739,14.8582
75,15.1975,14.76,14.3337
76,14.7046,14.2813,13.8688
77,14.2303,13.8206,13.4215
78,13.7739,13.3774,12.991
79,13.3346,12.9507,12.5767
80,12.9333,12.54,12.1575
81,12.5153,12.1347,11.7646
82,12.113,11.7447,11.3865
83,11.7259,11.3694,11.0225
84,11.3532,11.008,10.6722
85,11.0123,10.66,10.3179
86,10.6655,10.3243,9.993
87,10.3315,10.001,9.68
88,10.0097,9.6895,9.3785
89,9.6996,9.3893,9.088
90,9.4159,9.1,8.7939
91,9.1231,8.8171,8.5205
92,8.841,8.5444,8.2571
93,8.5691,8.2816,8.0031
94,8.3069,8.0283,7.7583
95,8.0667,7.784,7.5105
96,7.8282,7.5538,7.2884
97,7.5979,7.3316,7.074
98,7.3756,7.1172,6.867
99,7.161,6.91,6.6672
100,6.9643,6.71,6.4644
101,6.7739,6.5265,6.2876
102,6.5896,6.349,6.1166
103,6.4113,6.1772,5.9511
104,6.2388,6.0109,5.7909
105,6.0808,5.85,5.6274
106,5.9075,5.6832,5.4669
107,5.74,5.5221,5.3119
108,5.578,5.3663,5.162
109,5.4214,5.2156,5.0171
110,5.2777,5.07,4.87
111,5.131,4.9291,4.7346
